,0,1,2
0,scott delivers a terrific performance in this fascinating portrait of a modern lothario .,1,0
1,a fairly harmless but ultimately lifeless feature-length afterschool special .,0,0
2,"the redeeming feature of chan 's films has always been the action , but the stunts in the tuxedo seem tired and , what 's worse , routine .",0,0
3,"one of those movies that catches you up in something bigger than yourself , namely , an archetypal desire to enjoy good trash every now and then .",1,0
4,"but arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us .",1,0
5,"despite an overwrought ending , the film works as well as it does because of the performances .",1,0
6,"just about the best straight-up , old-school horror film of the last 15 years .",1,0
7,fantastic !,1,0
8,return to neverland manages to straddle the line between another classic for the company and just another run-of-the-mill disney sequel intended for the home video market .,0,0
9,i like it .,1,0
10,"there is a beautiful , aching sadness to it all .",1,0
11,"its simplicity puts an exclamation point on the fact that this is n't something to be taken seriously , but it also wrecks any chance of the movie rising above similar fare .",0,0
12,the movie itself appears to be running on hypertime in reverse as the truly funny bits get further and further apart .,0,0
13,there 's already been too many of these films ...,0,0
14,"impresses as a skillfully assembled , highly polished and professional adaptation ... just about as chilling and unsettling as ` manhunter ' was .",1,0
15,a wild ride with eight boarders from venice beach that was a deserved co-winner of the audience award for documentaries at the sundance film festival .,1,0
16,a moving story of determination and the human spirit .,1,0
17,"if the plot seems a bit on the skinny side , that 's because panic room is interested in nothing more than sucking you in ... and making you sweat .",1,0
18,quietly engaging .,1,0
19,this 90-minute postmodern voyage was more diverting and thought-provoking than i 'd expected it to be .,1,0
20,a great cast and a wonderful but sometimes confusing flashback movie about growing up in a dysfunctional family .,1,0
21,get out your pooper-scoopers .,0,0
22,"grenier is terrific , bringing an unforced , rapid-fire delivery to toback 's heidegger - and nietzsche-referencing dialogue .",1,0
23,"the abiding impression , despite the mild hallucinogenic buzz , is of overwhelming waste -- the acres of haute couture ca n't quite conceal that there 's nothing resembling a spine here .",0,0
24,"brash , intelligent and erotically perplexing , haneke 's portrait of an upper class austrian society and the suppression of its tucked away demons is uniquely felt with a sardonic jolt .",1,0
25,is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ?,0,0
26,it 's a bad action movie because there 's no rooting interest and the spectacle is grotesque and boring .,0,0
27,"even as the hero of the story rediscovers his passion in life , the mood remains oddly detached .",0,0
28,an exercise in cynicism every bit as ugly as the shabby digital photography and muddy sound .,0,0
29,"(russell) makes good b movies (the mask , the blob) , and the scorpion king more than ably meets those standards .",1,0
30,"the large-frame imax camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers .",1,0
31,"a smart , compelling drama .",1,0
32,"one of the best films i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .",1,0
33,"when (reno) lets her radical flag fly , taking angry potshots at george w. bush , henry kissinger , larry king , et al. , reno devolves into a laugh-free lecture .",0,0
34,a wretched movie that reduces the second world war to one man 's quest to find an old flame .,0,0
35,"it 's both degrading and strangely liberating to see people working so hard at leading lives of sexy intrigue , only to be revealed by the dispassionate gantz brothers as ordinary , pasty lumpen .",1,0
36,"after several scenes of this tacky nonsense , you 'll be wistful for the testosterone-charged wizardry of jerry bruckheimer productions , especially because half past dead is like the rock on a wal-mart budget .",0,0
37,"while scorsese 's bold images and generally smart casting ensure that `` gangs '' is never lethargic , the movie is hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about .",0,0
38,"beautifully shot , delicately scored and powered by a set of heartfelt performances , it 's a lyrical endeavour .",1,0
39,"although largely a heavy-handed indictment of parental failings and the indifference of spanish social workers and legal system towards child abuse , the film retains ambiguities that make it well worth watching .",1,0
40,dismally dull sci-fi comedy .,0,0
