,0,1,2
0,a fairly harmless but ultimately lifeless feature-length afterschool special .,0,0
1,"the redeeming feature of chan 's films has always been the action , but the stunts in the tuxedo seem tired and , what 's worse , routine .",0,0
2,"but arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us .",1,0
3,"surprisingly , considering that baird is a former film editor , the movie is rather choppy .",0,0
4,"enough is not a bad movie , just mediocre .",0,0
5,return to neverland manages to straddle the line between another classic for the company and just another run-of-the-mill disney sequel intended for the home video market .,0,0
6,"at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill .",0,0
7,"its simplicity puts an exclamation point on the fact that this is n't something to be taken seriously , but it also wrecks any chance of the movie rising above similar fare .",0,0
8,"obviously , a lot of people wasted a lot of their time (including mine) on something very inconsequential .",0,0
9,the movie itself appears to be running on hypertime in reverse as the truly funny bits get further and further apart .,0,0
10,there 's already been too many of these films ...,0,0
11,get out your pooper-scoopers .,0,0
12,"the abiding impression , despite the mild hallucinogenic buzz , is of overwhelming waste -- the acres of haute couture ca n't quite conceal that there 's nothing resembling a spine here .",0,0
13,is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ?,0,0
14,it 's a bad action movie because there 's no rooting interest and the spectacle is grotesque and boring .,0,0
15,"even as the hero of the story rediscovers his passion in life , the mood remains oddly detached .",0,0
16,an exercise in cynicism every bit as ugly as the shabby digital photography and muddy sound .,0,0
17,"when (reno) lets her radical flag fly , taking angry potshots at george w. bush , henry kissinger , larry king , et al. , reno devolves into a laugh-free lecture .",0,0
18,a wretched movie that reduces the second world war to one man 's quest to find an old flame .,0,0
19,"after several scenes of this tacky nonsense , you 'll be wistful for the testosterone-charged wizardry of jerry bruckheimer productions , especially because half past dead is like the rock on a wal-mart budget .",0,0
20,"while scorsese 's bold images and generally smart casting ensure that `` gangs '' is never lethargic , the movie is hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about .",0,0
21,"it 's also curious to note that this film , like the similarly ill-timed antitrust , is easily as bad at a fraction the budget .",0,0
22,dismally dull sci-fi comedy .,0,0
23,"human nature , in short , is n't nearly as funny as it thinks it is ; neither is it as smart .",0,0
24,"as violent , profane and exploitative as the most offensive action flick you 've ever seen .",0,0
25,"brainless , but enjoyably over-the-top , the retro gang melodrama , deuces wild represents fifties teen-gang machismo in a way that borders on rough-trade homo-eroticism .",0,0
26,"for the future , one hopes mr. plympton will find room for one more member of his little band , a professional screenwriter .",0,0
27,"ah , yes , that would be me : fighting off the urge to doze .",0,0
28,director david fincher and writer david koepp ca n't sustain it .,0,0
29,the movie is a mess from start to finish .,0,0
30,"an obvious copy of one of the best films ever made , how could it not be ?",0,0
31,"an acceptable way to pass a little over an hour with moviegoers ages 8-10 , but it 's unlikely to inspire anything more than a visit to mcdonald 's , let alone some savvy street activism .",0,0
32,the kind of film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill-advised and poorly executed idea .,0,0
33,needs more impressionistic cinematography and exhilarating point-of-view shots and fewer slow-motion ` grandeur ' shots and quick-cut edits that often detract from the athleticism .,0,0
34,a really good premise is frittered away in middle-of-the-road blandness .,0,0
35,"(a) boldly stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain .",0,0
36,this is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience .,0,0
37,"this picture is murder by numbers , and as easy to be bored by as your abc 's , despite a few whopping shootouts .",0,0
38,"as gamely as the movie tries to make sense of its title character , there remains a huge gap between the film 's creepy , clean-cut dahmer (jeremy renner) and fiendish acts that no amount of earnest textbook psychologizing can bridge .",0,0
39,the crassness of this reactionary thriller is matched only by the ridiculousness of its premise .,0,0
40,"(creates) the worst kind of mythologizing , the kind that sacrifices real heroism and abject suffering for melodrama .",0,0
41,all too familiar ... basically the sort of cautionary tale that was old when ` angels with dirty faces ' appeared in 1938 .,0,0
42,they cheapen the overall effect .,0,0
43,"a rip-off twice removed , modeled after (seagal 's) earlier copycat under siege , sometimes referred to as die hard on a boat .",0,0
44,"it could have been something special , but two things drag it down to mediocrity -- director clare peploe 's misunderstanding of marivaux 's rhythms , and mira sorvino 's limitations as a classical actress .",0,0
45,"(carvey 's) characters are both overplayed and exaggerated , but then again , subtlety has never been his trademark .",0,0
46,a sleek advert for youthful anomie that never quite equals the sum of its pretensions .,0,0
47,plays like the old disease-of-the-week small-screen melodramas .,0,0
48,it 's as if a bored cage spent the duration of the film 's shooting schedule waiting to scream : `` got aids yet ? '',0,0
49,"a distinctly mixed bag , the occasional bursts of sharp writing alternating with lots of sloppiness and the obligatory moments of sentimental ooze .",0,0
50,"oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single .",0,0
51,nothing about this movie works .,0,0
52,"even if it is generally amusing from time to time , i spy has all the same problems the majority of action comedies have .",0,0
53,every conceivable mistake a director could make in filming opera has been perpetrated here .,0,0
54,"in the not-too-distant future , movies like ghost ship will be used as analgesic balm for overstimulated minds .",0,0
55,the feature-length stretch ... strains the show 's concept .,0,0
56,it 's that painful .,0,0
57,"frankly , it 's pretty stupid .",0,0
58,"never does `` lilo & stitch '' reach the emotion or timelessness of disney 's great past , or even that of more recent successes such as `` mulan '' or `` tarzan . ''",0,0
59,"in theory , a middle-aged romance pairing clayburgh and tambor sounds promising , but in practice it 's something else altogether -- clownish and offensive and nothing at all like real life .",0,0
60,"the movie is the equivalent of french hip-hop , which also seems to play on a 10-year delay .",0,0
61,disney again ransacks its archives for a quick-buck sequel .,0,0
62,"goldmember has none of the visual wit of the previous pictures , and it looks as though jay roach directed the film from the back of a taxicab .",0,0
63,"there 's a persistent theatrical sentiment and a woozy quality to the manner of the storytelling , which undercuts the devastatingly telling impact of utter loss personified in the film 's simple title .",0,0
64,"like a comedian who starts off promisingly but then proceeds to flop , comedian runs out of steam after a half hour .",0,0
65,the thought of watching this film with an audience full of teenagers fixating on its body humour and reinforcement of stereotypes (of which they 'll get plenty) fills me with revulsion .,0,0
66,"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment .",0,0
67,"supposedly , pokemon ca n't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over .",0,0
68,offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film .,1,0
69,"tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .",0,0
70,"rather , pity anyone who sees this mishmash .",0,0
71,most of the dialogue made me want to pack raw dough in my ears .,0,0
72,truly terrible .,0,0
73,"... hits every cliche we 've come to expect , including the assumption that `` crazy '' people are innocent , childlike and inherently funny .",0,0
74,"solondz may be convinced that he has something significant to say , but he is n't talking a talk that appeals to me .",0,0
75,"the self-serious equilibrium makes its point too well ; a movie , like life , is n't much fun without the highs and lows .",0,0
76,"as aimless as an old pickup skidding completely out of control on a long patch of black ice , the movie makes two hours feel like four .",0,0
77,thoroughly awful .,0,0
78,sweet home alabama certainly wo n't be remembered as one of (witherspoon 's) better films .,0,0
79,breen 's script is sketchy with actorish notations on the margin of acting .,0,0
80,control-alt-delete simone as quickly as possible,0,0
81,... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season .,0,0
82,vulgar is too optimistic a title .,0,0
83,"if routine action and jokes like this are your cup of tea , then pay your $ 8 and get ready for the big shear .",0,0
